scientific_name,park_name,observations,category,common_names,conservation_status
thomomys talpoides,bryce national park,98,mammal,northern pocket gopher,
krigia biflora,yosemite national park,127,vascular plant,"dwarf dandelion, two-flowered dwarf dandelion",
bromus hordeaceus,yosemite national park,156,vascular plant,"soft brome, soft chess",
calamagrostis breweri,yellowstone national park,232,vascular plant,shorthair reedgrass,
parnassia fimbriata,yosemite national park,152,vascular plant,"fringed grass of parnassus, fringed grass-of-parnassus, rocky mountain parnassia",
chaerophyllum procumbens,yosemite national park,158,vascular plant,spreading chervil,
dendroica cerulea,bryce national park,99,bird,cerulean warbler,
chenopodium fremontii,bryce national park,104,vascular plant,fremont's goosefoot,
lespedeza x nuttallii,bryce national park,36,vascular plant,hybrid bush-clover,
carex bebbii,yosemite national park,160,vascular plant,"bebb sedge, bebb's sedge",
lysimachia hybrida,great smoky mountains national park,93,vascular plant,"intermediate loosestrife, lance-leaf loosestrife",
listera cordata,bryce national park,77,vascular plant,heartleaf twayblade,
mertensia virginica,bryce national park,135,vascular plant,"virginia bluebell, virginia bluebells",
trifolium repens,great smoky mountains national park,76,vascular plant,white clover,
trifolium repens,great smoky mountains national park,76,vascular plant,"dutch clover, ladino clover, white clover, white dutch clover",
monotropa hypopithys,yellowstone national park,254,vascular plant,"american pinesap, pine-sap",
monotropa hypopithys,yellowstone national park,254,vascular plant,pinesap,
brotherella recurvans,great smoky mountains national park,84,nonvascular plant,recurved brotherella moss,
polytrichum strictum,yosemite national park,161,nonvascular plant,polytrichum moss,
bromus laevipes,bryce national park,107,vascular plant,"chinook brome, woodland brome",
silene vulgaris,bryce national park,76,vascular plant,bladder campion,
silene vulgaris,bryce national park,76,vascular plant,"bladder campion, bladder silene, cowbell, maiden's tears, maidenstears, maiden's-tears, rattleweed",
penstemon rydbergii var. oreocharis,yosemite national park,153,vascular plant,herbaceous penstemon,
panicum rigidulum var. rigidulum,bryce national park,100,vascular plant,redtop panicum,
panicum rigidulum var. rigidulum,bryce national park,100,vascular plant,"redtop panicgrass, redtop panicum",
zizia aptera,great smoky mountains national park,41,vascular plant,golden alexanders,
zizia aptera,great smoky mountains national park,41,vascular plant,"heartleaf alexanders, heart-leaf alexanders, meadow zizia, meadowparsnip",
ammodramus savannarum,bryce national park,97,bird,grasshopper sparrow,species of concern
plethodon metcalfi,yellowstone national park,219,amphibian,southern gray-cheeked salamander,
abies fraseri,yellowstone national park,218,vascular plant,fraser fir,species of concern
helenium bigelovii,great smoky mountains national park,92,vascular plant,bigelow's sneezeweed,
smilax rotundifolia,yosemite national park,162,vascular plant,"common greenbrier, greenbrier",
ratibida pinnata,great smoky mountains national park,101,vascular plant,pinnate prairie coneflower,
pinus ponderosa,yellowstone national park,236,vascular plant,"blackjack pine, bull pine, ponderosa pine, rock pine, western yellow pine",
pinicola enucleator,bryce national park,82,bird,pine grosbeak,
perideridia howellii,great smoky mountains national park,68,vascular plant,howell's yampah,
sedum rhodanthum,bryce national park,110,vascular plant,redpod stonecrop,
dichelostemma multiflorum,great smoky mountains national park,112,vascular plant,roundtooth snakelily,
pylaisiella intricata,bryce national park,89,nonvascular plant,intricate pylaisiella moss,
oryzomys palustris,yellowstone national park,266,mammal,marsh rice rat,
cerastium arvense,great smoky mountains national park,83,vascular plant,"field chickweed, field mouse-ear chickweed, starry chickweed",
sambucus mexicana,yosemite national park,141,vascular plant,mexican elder,
iva xanthifolia,great smoky mountains national park,48,vascular plant,"burweed marshelder, carelessweed, false ragweed, giant marshelder, giant sumpweed, horseweed, marshelder, rag sumpweed",
sorex nanus,great smoky mountains national park,60,mammal,"dwarf shrew, rocky mountain dwarf shrew",
glaucomys volans,bryce national park,100,mammal,southern flying squirrel,
dicranum viride,great smoky mountains national park,61,nonvascular plant,dicranum moss,
cyperus retrofractus,great smoky mountains national park,44,vascular plant,rough flatsedge,
scutellaria lateriflora,great smoky mountains national park,76,vascular plant,"mad dog skullcap, mad-dog skullcap",
bromus sterilis,great smoky mountains national park,67,vascular plant,"barren bromegrass, poverty brome, sterile brome",
arnoglossum muehlenbergii,great smoky mountains national park,75,vascular plant,"great indian-plantain, muhlenberg's cacalia",
egretta thula,yellowstone national park,244,bird,snowy egret,
sphenosciadium capitellatum,yellowstone national park,237,vascular plant,"button parsley, woollyhead parsnip",
carex luzulifolia,yellowstone national park,245,vascular plant,littleleaf sedge,
potamogeton robbinsii,yosemite national park,139,vascular plant,"robbins pondweed, robbins' pondweed",
sorex nanus,bryce national park,89,mammal,"dwarf shrew, rocky mountain dwarf shrew",
clematis glaucophylla,great smoky mountains national park,83,vascular plant,waxy-leaved clematis,
trillium vaseyi,yosemite national park,161,vascular plant,vasey's trillium,
etheostoma flabellare,yosemite national park,156,fish,fantail darter,
plantago aristata,yellowstone national park,217,vascular plant,"bracted plantain, large-bract plantain",
glechoma hederacea,yellowstone national park,235,vascular plant,"gill-over-the-ground, ground ivy",
glechoma hederacea,yellowstone national park,235,vascular plant,"creeping charlie, gill-over-the-ground, ground ivy, groundivy, haymaids",
pteridium aquilinum var. latiusculum,yellowstone national park,244,vascular plant,bracken fern,
astragalus gilviflorus var. gilviflorus,great smoky mountains national park,42,vascular plant,plains milkvetch,
setaria pumila,yellowstone national park,249,vascular plant,glaucous foxtail,
setaria pumila,yellowstone national park,249,vascular plant,"cattail grass, yellow bristle grass, yellow bristlegrass",
rallus elegans,great smoky mountains national park,81,bird,king rail,species of concern
trifolium cyathiferum,great smoky mountains national park,55,vascular plant,cup clover,
clematis occidentalis var. grosseserrata,yosemite national park,162,vascular plant,western blue virginsbower,
ceratophyllum demersum,yosemite national park,173,vascular plant,"common hornwort, coon's tail, coon's-tail, coontail, hornwort",
paronychia canadensis,bryce national park,126,vascular plant,"forked chickweed, forked nail-wort",
lepomis gibbosus,great smoky mountains national park,133,fish,pumpkinseed,
cannabis sativa,bryce national park,116,vascular plant,"hemp, marijuana, marijuana",
cannabis sativa,bryce national park,116,vascular plant,"grass, hashish, hemp, marijuana, mary jane, pot",
protonotaria citrea,yosemite national park,108,bird,prothonotary warbler,
mentzelia montana,bryce national park,101,vascular plant,"mountain blazingstar, variegatedbract blazingstar, variegated-bract blazingstar",
geranium dissectum,yosemite national park,129,vascular plant,cutleaf geranium,
hackelia velutina,great smoky mountains national park,100,vascular plant,"velvet stickseed, velvety stickseed",
cardamine oligosperma,yellowstone national park,252,vascular plant,"idaho bittercress, little western bittercress",
geranium richardsonii,yosemite national park,126,vascular plant,richardson's geranium,
tribulus terrestris,bryce national park,111,vascular plant,"bullhead, caltrop, goathead, mexican sandbur, puncture vine, texas sandbur",
accipiter striatus,yellowstone national park,200,bird,sharp-shinned hawk,species of concern
cardamine oligosperma var. oligosperma,great smoky mountains national park,88,vascular plant,little western bittercress,
lyonia ligustrina,bryce national park,117,vascular plant,maleberry,
baptisia tinctoria,yosemite national park,137,vascular plant,"wild indigo, yellow wild-indigo",
columba livia,yellowstone national park,239,bird,rock dove,
columba livia,yellowstone national park,239,bird,"common pigeon, rock dove, rock pigeon",
columba livia,yellowstone national park,239,bird,rock pigeon,
dolichonyx oryzivorus,great smoky mountains national park,61,bird,bobolink,
euphorbia purpurea,yellowstone national park,213,vascular plant,glade spurge,species of concern
oligoneuron rigidum var. rigidum,yosemite national park,138,vascular plant,stiff goldenrod,
scutellaria bolanderi ssp. bolanderi,bryce national park,98,vascular plant,sierra skullcap,
eleocharis acicularis var. acicularis,great smoky mountains national park,50,vascular plant,"needle spikerush, needle spike-rush",
sylvilagus nuttallii,bryce national park,120,mammal,mountain cottontail,
vaccinium angustifolium,great smoky mountains national park,39,vascular plant,"late lowbush blueberry, lowbush blueberry",
agastache nepetoides,yellowstone national park,237,vascular plant,"giant hyssop, hyssop",
pyrrocoma lanceolata,yellowstone national park,220,vascular plant,"lanceleaf goldenweed, lance-leaf goldenweed",
lespedeza virginica,great smoky mountains national park,70,vascular plant,slender bush-clover,
setophaga occidentalis,great smoky mountains national park,42,bird,hermit warbler,
utricularia intermedia,yosemite national park,149,vascular plant,flatleaf bladderwort,
utricularia intermedia,yosemite national park,149,vascular plant,"flatleaf bladderwort, flat-leaf bladderwort, mountain bladderwort",
anthus spinoletta,bryce national park,93,bird,water pipit,
setophaga coronata coronata,great smoky mountains national park,56,bird,myrtle warbler (yellow-rumped),
rhizomnium appalachianum,yellowstone national park,250,nonvascular plant,appalachian rhizomnium moss,
crataegus punctata,yellowstone national park,238,vascular plant,round-leaved hawthorn,
plethodon websteri,yosemite national park,164,amphibian,webster's salamander,
medicago lupulina,yosemite national park,140,vascular plant,"black medic, black medick",
medicago lupulina,yosemite national park,140,vascular plant,"black medic, black medic clover, black medick, hop clover, hop medic, nonesuch, yellow trefoil",
phalacroseris bolanderi,bryce national park,83,vascular plant,bolander's mock dandelion,
madia gracilis,yellowstone national park,279,vascular plant,"grassy tarweed, slender tarweed",
rumex venosus,great smoky mountains national park,49,vascular plant,veiny dock,
symphyotrichum puniceum var. puniceum,yosemite national park,130,vascular plant,purplestem aster,
kalmia latifolia,yosemite national park,126,vascular plant,mountain laurel,
chrysosplenium americanum,yosemite national park,150,vascular plant,"american golden-saxifrage, golden saxifrage",
dracocephalum parviflorum,yosemite national park,116,vascular plant,american dragonhead,
junco hyemalis oreganus,great smoky mountains national park,67,bird,oregon junco,
astragalus miser var. hylophilus,great smoky mountains national park,76,vascular plant,woody milkvetch,
hemerocallis lilioasphodelus,great smoky mountains national park,57,vascular plant,yellow day-lily,
caulophyllum thalictroides,yosemite national park,150,vascular plant,blue cohosh,
solanum carolinense,bryce national park,64,vascular plant,"carolina horse-nettle, horse-nettle",
eriophorum viridicarinatum,great smoky mountains national park,38,vascular plant,"tassel cotton-grass, thinleaf cottonsedge",
anomodon rostratus,yellowstone national park,247,nonvascular plant,anomodon moss,
setophaga nigrescens,yosemite national park,169,bird,black-throated gray warbler,
minuartia nuttallii ssp. gracilis,yellowstone national park,239,vascular plant,brittle sandwort,
polytrichum ohioense,yosemite national park,183,nonvascular plant,ohio polytrichum moss,
nicotiana acuminata var. multiflora,great smoky mountains national park,92,vascular plant,manyflower tobacco,
desmognathus santeetlah,yosemite national park,184,amphibian,"santeetlah dusky salamander, santleetlah dusky salamander, yellow dusky salamander",
carex albursina,great smoky mountains national park,87,vascular plant,"a sedge, sedge",
elaeagnus angustifolia,yellowstone national park,259,vascular plant,russian olive,
monotropa hypopithys,bryce national park,123,vascular plant,"american pinesap, pine-sap",
monotropa hypopithys,bryce national park,123,vascular plant,pinesap,
galium obtusum,yellowstone national park,249,vascular plant,"blunt-leaf bedstraw, blunt-leaved bedstraw",
mimosa microphylla,yosemite national park,168,vascular plant,"littleleaf sensitive-briar, sensitive brier",
campanulastrum americanum,yosemite national park,158,vascular plant,tall bellflower,
rhodobryum ontariense,bryce national park,112,nonvascular plant,ontario rhodobryum moss,
helianthus annuus,bryce national park,118,vascular plant,common sunflower,
helianthus annuus,bryce national park,118,vascular plant,"annual sunflower, common sunflower, sunflower, wild sunflower",
chamaelirium luteum,bryce national park,61,vascular plant,"devil's-bit, fairy wand",
hesperochiron californicus,yosemite national park,186,vascular plant,california hesperochiron,
bromus tectorum,yosemite national park,97,vascular plant,"bromegrass, cheat grass",
bromus tectorum,yosemite national park,97,vascular plant,"cheat grass, cheatgrass, downy brome, early chess, military grass, wild oats",
fissidens taxifolius,yellowstone national park,257,nonvascular plant,fissidens moss,
aythya valisineria,great smoky mountains national park,84,bird,canvasback,
viola sagittata var. sagittata,yosemite national park,152,vascular plant,arrowleaf violet,
tonestus lyallii,yellowstone national park,247,vascular plant,"alpine goldenweed, lyall's goldenweed",
epilobium ciliatum ssp. glandulosum,bryce national park,87,vascular plant,"fringed willowherb, glandular willowherb, glandular willowweed",
solanum triflorum,great smoky mountains national park,26,vascular plant,"cutleaf nightshade, cut-leaf nightshade",
muscari botryoides,bryce national park,84,vascular plant,"common grape-hyacinth, grape hyacinth",
soliva sessilis,great smoky mountains national park,62,vascular plant,field soliva,
soliva sessilis,great smoky mountains national park,62,vascular plant,"field burrweed, field soliva",
disporum hookeri,yellowstone national park,242,vascular plant,drops of gold,
spergularia rubra,great smoky mountains national park,65,vascular plant,"purple sandspurry, red sandspurry",
brachythecium salebrosum,great smoky mountains national park,92,nonvascular plant,brachythecium moss,
phyllanthus caroliniensis,bryce national park,112,vascular plant,"carolina leaf-flower, phyllanthus",
hordeum pusillum,great smoky mountains national park,89,vascular plant,little barley,
hordeum pusillum,great smoky mountains national park,89,vascular plant,"little barley, little wildbarley",
isoetes echinospora,great smoky mountains national park,86,vascular plant,"isote _ spores _pineuses, spiny-spore quillwort",
silene sargentii,bryce national park,107,vascular plant,"sargent's campion, sargent's catchfly",
castilleja attenuata,yosemite national park,152,vascular plant,"attenuate indian paintbrush, indian paintbrush",
pituophis catenifer sayi,yosemite national park,120,reptile,bullsnake,
androsace occidentalis,yosemite national park,120,vascular plant,"western rockjasmine, western rock-jasmine",
polypodium glycyrrhiza,yosemite national park,139,vascular plant,licorice fern,
cryptantha simulans,bryce national park,92,vascular plant,"pine cryptantha, pinewoods cryptantha",
clemmys muhlenbergii,bryce national park,82,reptile,bog turtle,
asclepias fascicularis,yosemite national park,194,vascular plant,"mexican whorled milkweed, narrowleaf milkweed, narrow-leaved milkweed",
senecio serra var. serra,yosemite national park,151,vascular plant,"tall groundsel, tall ragwort",
ranunculus orthorhynchus var. orthorhynchus,bryce national park,104,vascular plant,straightbeak buttercup,
minuartia obtusiloba,bryce national park,91,vascular plant,"alpine sandwort, twinflower sandwort",
monolepis nuttalliana,bryce national park,110,vascular plant,"nuttall's monolepis, nuttall's povertyweed, nuttall's poverty-weed, patata, patota",
cephalanthus occidentalis,yosemite national park,180,vascular plant,"buttonbush, common buttonbush",
senecio scorzonella,yosemite national park,126,vascular plant,"sierra groundsel, sierra ragwort",
cygnus buccinator,great smoky mountains national park,34,bird,trumpeter swan,species of concern
parietaria pensylvanica,yosemite national park,150,vascular plant,"pellitory, pennsylvania pellitory",
parietaria pensylvanica,yosemite national park,150,vascular plant,pennsylvania pellitory,
phacelia vallicola,yellowstone national park,265,vascular plant,mariposa phacelia,
typha latifolia,yellowstone national park,226,vascular plant,"broad-leaf cattail, wideleaf cattail",
typha latifolia,yellowstone national park,226,vascular plant,"broadleaf cattail, cattail, common cattail",
verbesina alternifolia,bryce national park,60,vascular plant,wingstem,
delphinium nuttallianum,yosemite national park,133,vascular plant,"low larkspur, nuttall's larkspur, twolobe larkspur, two-lobe larkspur",
phlox gracilis,yellowstone national park,243,vascular plant,slender phlox,
megascops asio,great smoky mountains national park,44,bird,"eastern screech owl, eastern screech-owl",
megascops asio,great smoky mountains national park,44,bird,eastern screech-owl,
castilleja rhexiifolia,great smoky mountains national park,99,vascular plant,"rhexialeaf paintbrush, splitleaf indian paintbrush",
celtis occidentalis,yellowstone national park,257,vascular plant,common hackberry,
senecio aureus,bryce national park,95,vascular plant,golden ragwort,
lycopodium tristachyum,yellowstone national park,321,vascular plant,"deep-root clubmoss, ground cedar",
triteleia ixioides ssp. scabra,yellowstone national park,246,vascular plant,prettyface,
amaranthus spinosus,yellowstone national park,245,vascular plant,"spiny amaranth, spiny amaranthus",
pogonia ophioglossoides,yosemite national park,169,vascular plant,"pogonia, rose pogonia",
verbascum virgatum,yellowstone national park,207,vascular plant,wand mullein,
rubus trux,yellowstone national park,284,vascular plant,"a bramble, truculent blackberry",
napaeozapus insignis,bryce national park,130,mammal,woodland jumping mouse,
martes pennanti,bryce national park,75,mammal,fisher,
pastinaca sativa,bryce national park,89,vascular plant,"parsnip, wild parsnip",
pastinaca sativa,bryce national park,89,vascular plant,wild parsnip,
verbascum thapsus,bryce national park,132,vascular plant,"common mullein, great mullein",
verbascum thapsus,bryce national park,132,vascular plant,"big taper, common mullein, flannel mullein, flannel plant, great mullein, mullein, velvet dock, velvet plant, woolly mullein",
pentaphylloides floribunda,bryce national park,90,vascular plant,shrubby cinquefoil,
salsola collina,bryce national park,111,vascular plant,"slender russian-thistle, tumbleweed",
calycanthus floridus var. floridus,great smoky mountains national park,66,vascular plant,eastern sweetshrub,
trachemys scripta troostii,yosemite national park,150,reptile,cumberland slider,
cyprinella venustus,yosemite national park,139,fish,blacktail shiner,
helianthemum canadense,yellowstone national park,256,vascular plant,"canada frostweed, frostweed",
phacelia heterophylla ssp. virgata,great smoky mountains national park,100,vascular plant,varileaf phacelia,
trifolium dubium,yosemite national park,138,vascular plant,"smaller hop-clover, suckling clover",
trifolium dubium,yosemite national park,138,vascular plant,"hop clover, smallhop clover, suckling clover",
prunus virginiana,bryce national park,120,vascular plant,"choke cherry, chokecherry",
verbena brasiliensis,great smoky mountains national park,65,vascular plant,"blue vervain, brazillian vervain",
pleopeltis polypodioides,yosemite national park,160,vascular plant,resurrection fern,
sanicula tuberosa,great smoky mountains national park,74,vascular plant,turkey pea,
vicia cracca ssp. cracca,yellowstone national park,233,vascular plant,bird vetch,
pycnanthemum muticum,yosemite national park,174,vascular plant,"blunt mountainmint, clustered mountainmint",
prunus virginiana var. melanocarpa,bryce national park,86,vascular plant,"black chokecherry, choke cherry",
isoetes macrospora,great smoky mountains national park,72,vascular plant,lake quillwort,
chaenactis glabriuscula var. heterocarpha,yellowstone national park,268,vascular plant,yellow pincushion,
tauschia hartwegii,yosemite national park,138,vascular plant,hartweg's umbrellawort,
arnica fulgens,great smoky mountains national park,77,vascular plant,"foothill arnica, orange arnica, shining leopardbane",
carya glabra,great smoky mountains national park,78,vascular plant,"pignut hickory, sweet pignut hickory",
gratiola neglecta,yellowstone national park,282,vascular plant,"clammy hedge-hyssop, hedge-hyssop",
gratiola neglecta,yellowstone national park,282,vascular plant,"clammy hedgehyssop, clammy hedge-hyssop, drug hedgehyssop, hedge hyssop, neglected hedgehyssop",
senecio canus,bryce national park,69,vascular plant,woolly groundsel,
ranunculus occidentalis,great smoky mountains national park,69,vascular plant,western buttercup,
pastinaca sativa,great smoky mountains national park,75,vascular plant,"parsnip, wild parsnip",
pastinaca sativa,great smoky mountains national park,75,vascular plant,wild parsnip,
hamamelis virginiana,yosemite national park,160,vascular plant,"american witch-hazel, witch-hazel",
hypericum densiflorum,bryce national park,82,vascular plant,"bushy st. john's-wort, shrubby st. john's-wort",
aletris farinosa,yellowstone national park,216,vascular plant,"colic root, white-tubed colicroot",
leucopoa kingii,great smoky mountains national park,60,vascular plant,"spike fescue, spike-fescue",
claytonia lanceolata,yosemite national park,163,vascular plant,lanceleaf springbeauty,
plantago tweedyi,bryce national park,89,vascular plant,tweedy's plantain,
salvia lyrata,yellowstone national park,249,vascular plant,"lyre-leaf sage, lyre-leaved sage",
yabea microcarpa,great smoky mountains national park,61,vascular plant,"false carrot, false hedge-parsley, falsecarrot",
plantago lanceolata,yosemite national park,136,vascular plant,"english plantain, ribgrass",
plantago lanceolata,yosemite national park,136,vascular plant,"buckhorn plantain, english plantain, lanceleaf indianwheat, lanceleaf plantain, narrowleaf plantain, ribgrass, ribwort",
melospiza melodia,yellowstone national park,235,bird,song sparrow,
tortula fragilis,yellowstone national park,259,nonvascular plant,fragmented screw-moss,
lupinus breweri var. breweri,great smoky mountains national park,32,vascular plant,brewer's lupine,
layia pentachaeta ssp. pentachaeta,great smoky mountains national park,69,vascular plant,sierra tidytips,
eurycea wilderae,yosemite national park,157,amphibian,blue ridge two-lined salamander,
phenacobius crassilabrum,yosemite national park,168,fish,fatlips minnow,
carex nebrascensis,yellowstone national park,226,vascular plant,nebraska sedge,
phoradendron densum,yellowstone national park,246,vascular plant,dense mistletoe,
solidago,yellowstone national park,254,vascular plant,goldenrod,
carex normalis,yellowstone national park,244,vascular plant,"a sedge, sedge",
castilleja pilosa,yellowstone national park,261,vascular plant,"hairy paintbrush, parrothead indian paintbrush",
psilocarphus tenellus var. tenellus,yosemite national park,143,vascular plant,slender woollyheads,
carex tonsa var. rugosperma,yosemite national park,161,vascular plant,parachute sedge,
carex rossii,yellowstone national park,262,vascular plant,"ross sedge, ross' sedge, ross's sedge, shortstemmed sedge",
bidens tripartita,yosemite national park,128,vascular plant,"stick-tight, three-lobe beggar-ticks",
bidens tripartita,yosemite national park,128,vascular plant,"threelobe beggarticks, three-lobe beggarticks",
carex atlantica,bryce national park,109,vascular plant,prickly bog sedge,
philadelphus inodorus var. strigosus,yosemite national park,167,vascular plant,mock-orange,
solanum ptychanthum,yellowstone national park,243,vascular plant,nightshade,
tringa incana,bryce national park,114,bird,wandering tattler,
clintonia umbellulata,yosemite national park,166,vascular plant,"speckled wood lily, white clintonia",
antennaria media,great smoky mountains national park,80,vascular plant,rocky mountain pussytoes,
phlox subulata,great smoky mountains national park,94,vascular plant,moss phlox,
paspalum boscianum,yellowstone national park,241,vascular plant,bull crowngrass,
heuchera rubescens var. alpicola,yellowstone national park,281,vascular plant,pink alumroot,
stachys nuttallii,yosemite national park,157,vascular plant,hairy hedge-nettle,
sorghum bicolor,great smoky mountains national park,62,vascular plant,"black amber, broomcorn, broom-corn, chicken corn, shatter cane, shattercane, sorghum, wild cane",
saxifraga oppositifolia,yosemite national park,173,vascular plant,"purple mountain saxifrage, purple saxifrage",
trichostema lanceolatum,bryce national park,115,vascular plant,vinegarweed,
lepomis humilis,great smoky mountains national park,93,fish,orangespotted sunfish,
sciurus niger,great smoky mountains national park,94,mammal,"eastern fox squirrel, fox squirrel",
carex caroliniana,bryce national park,110,vascular plant,"carolina sedge, hirsute sedge",
isopterygium tenerum,great smoky mountains national park,63,nonvascular plant,isopterygium moss,
nemophila aphylla,yosemite national park,162,vascular plant,nemophila,
aulacomnium heterostichum,bryce national park,91,nonvascular plant,aulacomnium moss,
luzula multiflora,yellowstone national park,252,vascular plant,"common woodrush, wood-rush",
luzula multiflora,yellowstone national park,252,vascular plant,"common woodrush, common wood-rush",
gayophytum eriospermum,great smoky mountains national park,95,vascular plant,coville's groundsmoke,
sedum spathulifolium,great smoky mountains national park,53,vascular plant,broadleaf stonecrop,
viola bicolor,bryce national park,115,vascular plant,"field pansy, wild pansy",
phyla lanceolata,bryce national park,68,vascular plant,lanceleaf fogfruit,
polygonum aviculare,yellowstone national park,286,vascular plant,bird knotweed,
polygonum aviculare,yellowstone national park,286,vascular plant,"prostrate knotweed, yard knotweed",
haemorhous cassinii,bryce national park,136,bird,cassin's finch,
calypogeja neesiana,great smoky mountains national park,75,nonvascular plant,nees' calypogeja,
tamiasciurus hudsonicus,great smoky mountains national park,54,mammal,red squirrel,
mimus polyglottos,great smoky mountains national park,84,bird,"mockingbird, northern mockingbird",
mimus polyglottos,great smoky mountains national park,84,bird,northern mockingbird,
rhus hirta,yosemite national park,153,vascular plant,staghorn sumac,
corynorhinus rafinesquii,bryce national park,57,mammal,rafinesque's big-eared bat,
purshia tridentata,great smoky mountains national park,92,vascular plant,antelope bitterbrush,
bromus tectorum,yellowstone national park,277,vascular plant,"bromegrass, cheat grass",
bromus tectorum,yellowstone national park,277,vascular plant,"cheat grass, cheatgrass, downy brome, early chess, military grass, wild oats",
cardaria draba,bryce national park,62,vascular plant,"globed-podded hoarycress, heart-pod hoarycress, heart-podded hoarycress, hoary cress, peppergrass, pepperweed whitetop, whitetop, whiteweed",
microtus pennsylvanicus,yosemite national park,156,mammal,meadow vole,
erigeron strigosus,yosemite national park,161,vascular plant,"daisy fleabane, daisy-fleabane",
erigeron strigosus,yosemite national park,161,vascular plant,"daisy fleabane, prairie fleabane, rough fleabane",
carex aquatilis var. aquatilis,yosemite national park,173,vascular plant,"leafy tussock sedge, water sedge",
bison bison,great smoky mountains national park,117,mammal,"bison, buffalo",
dianthus armeria,yellowstone national park,223,vascular plant,"deptford pink, deptford-pink",
dianthus armeria,yellowstone national park,223,vascular plant,deptford pink,
saxifraga aprica,great smoky mountains national park,103,vascular plant,sierra saxifrage,
elephantopus tomentosus,great smoky mountains national park,67,vascular plant,"hairy tobaccoweed, tobaccoweed",
spermophilus armatus,yellowstone national park,255,mammal,uinta ground squirrel,
rubus discolor,great smoky mountains national park,66,vascular plant,"himalaya blackberry, himalayan blackberry",
populus balsamifera ssp. balsamifera,yosemite national park,146,vascular plant,balm of gilead,
datisca glomerata,yellowstone national park,228,vascular plant,durango root,
krascheninnikovia lanata,great smoky mountains national park,38,vascular plant,winterfat,
echinochloa colona,great smoky mountains national park,31,vascular plant,"barnyard grass, jungle-rice",
phenacomys intermedius,great smoky mountains national park,64,mammal,"heather vole, western heather vole",
tortella humilis,great smoky mountains national park,62,nonvascular plant,tortella moss,
pleuridium subulatum,yosemite national park,141,nonvascular plant,pleuridium moss,
lonicera involucrata var. involucrata,yellowstone national park,245,vascular plant,twinberry honeysuckle,
lotus argophyllus var. fremontii,great smoky mountains national park,64,vascular plant,fremont's birdsfoot trefoil,
viola sagittata,bryce national park,97,vascular plant,arrow-leaved violet,
sternotherus odoratus,great smoky mountains national park,51,reptile,common musk turtle,
melanitta nigra,yosemite national park,152,bird,black scoter,
osmorhiza occidentalis,yellowstone national park,245,vascular plant,"sweetanise, western sweetroot",
myotis lucifugus,great smoky mountains national park,58,mammal,"little brown bat, little brown myotis",species of concern
myotis lucifugus,great smoky mountains national park,58,mammal,"little brown bat, little brown myotis, little brown myotis",species of concern
myotis lucifugus,great smoky mountains national park,58,mammal,little brown myotis,species of concern
carpodacus mexicanus,yosemite national park,137,bird,house finch,
adoxa moschatellina,yosemite national park,155,vascular plant,muskroot,
sericocarpus linifolius,bryce national park,145,vascular plant,narrowleaf whitetop aster,
junco hyemalis,yellowstone national park,233,bird,dark-eyed junco,
dendroica discolor,yellowstone national park,280,bird,prairie warbler,
soliva sessilis,bryce national park,99,vascular plant,field soliva,
soliva sessilis,bryce national park,99,vascular plant,"field burrweed, field soliva",
lycopodium complanatum,bryce national park,86,vascular plant,running-pine,
chenopodium glaucum var. salinum,yosemite national park,130,vascular plant,rocky mountain goosefoot,
cynoglossum occidentale,yellowstone national park,234,vascular plant,western hound's tongue,
lonicera interrupta,great smoky mountains national park,101,vascular plant,chaparral honeysuckle,
eumops perotis,bryce national park,113,mammal,western mastiff bat,
pinus palustris,bryce national park,101,vascular plant,longleaf pine,
anastrophyllum helleranum,yellowstone national park,233,nonvascular plant,heller's anastrophyllum,
sterna caspia,yellowstone national park,260,bird,caspian tern,
eriophorum gracile,yosemite national park,113,vascular plant,"slender cottongrass, slender cotton-grass, slender cottonsedge",
mentzelia dispersa,bryce national park,147,vascular plant,"bushy blazingstar, nevada blazingstar, scattered blazingstar",
madia elegans ssp. vernalis,bryce national park,74,vascular plant,spring madia,
lespedeza hirta,yellowstone national park,268,vascular plant,hairy bush-clover,
tetrodontium brownianum,bryce national park,119,nonvascular plant,brown's tetrodontium moss,
lampropeltis getula nigra,great smoky mountains national park,74,reptile,black kingsnake,
dichanthelium dichotomum var. dichotomum,bryce national park,105,vascular plant,small panic grass,
juncus ensifolius var. montanus,great smoky mountains national park,48,vascular plant,rocky mountain rush,
geranium carolinianum,yellowstone national park,249,vascular plant,"carolina cranesbill, carolina crane's-bill",
geranium carolinianum,yellowstone national park,249,vascular plant,"carolina crane's-bill, carolina geranium",
cyperus iria,great smoky mountains national park,58,vascular plant,ricefield flatsedge,
potamogeton pusillus ssp. tenuissimus,bryce national park,99,vascular plant,small pondweed,
spermophilus armatus,great smoky mountains national park,66,mammal,uinta ground squirrel,
silene ovata,yellowstone national park,211,vascular plant,"mountain catchfly, rough-leaved campion",species of concern
calamagrostis canadensis,yosemite national park,147,vascular plant,bluejoint,
calamagrostis canadensis,yosemite national park,147,vascular plant,"bluejoint, bluejoint reedgrass",
sedum obtusatum ssp. obtusatum,yosemite national park,171,vascular plant,"sierra stonecrop, sierran stonecrop",
pelecanus occidentalis,great smoky mountains national park,47,bird,brown pelican,in recovery
